scenario,strategy,job_index,makespan_seconds,energy_joules
heterogeneous_overhead,fixed_equal,12,4.8203,280.2675
heterogeneous_overhead,fixed_equal,13,4.25,236.4073
heterogeneous_overhead,fixed_equal,14,4.8895,263.2619
heterogeneous_overhead,fixed_equal,15,4.8768,264.26
heterogeneous_overhead,fixed_equal,16,5.4778,279.4961
heterogeneous_overhead,fixed_equal,17,4.25,263.2904
heterogeneous_overhead,fixed_equal,18,4.635,264.5384
heterogeneous_overhead,fixed_equal,19,4.25,266.1643
heterogeneous_overhead,fixed_equal,20,5.1093,283.0503
heterogeneous_overhead,fixed_equal,21,4.3026,250.5639
heterogeneous_overhead,fixed_equal,22,4.3761,249.4492
heterogeneous_overhead,fixed_equal,23,4.7101,257.8309
heterogeneous_overhead,fixed_equal,24,5.5662,291.8051
heterogeneous_overhead,fixed_equal,25,4.7213,269.9773
heterogeneous_overhead,fixed_equal,26,4.25,262.8103
heterogeneous_overhead,fixed_equal,27,5.0254,271.0613
heterogeneous_overhead,fixed_equal,28,4.25,245.371
heterogeneous_overhead,fixed_equal,29,4.5243,265.7483
heterogeneous_overhead,fixed_equal,30,4.8215,261.3989
heterogeneous_overhead,fixed_equal,31,4.587,252.9503
heterogeneous_overhead,fixed_equal,32,4.6918,259.9248
heterogeneous_overhead,fixed_equal,33,4.25,244.1472
heterogeneous_overhead,fixed_equal,34,4.9576,269.2421
heterogeneous_overhead,fixed_equal,35,4.9139,264.6127
heterogeneous_overhead,fixed_equal,36,4.3172,254.4699
heterogeneous_overhead,fixed_equal,37,4.5909,264.5469
heterogeneous_overhead,fixed_equal,38,4.6157,264.2637
heterogeneous_overhead,fixed_equal,39,4.3007,246.6211
heterogeneous_overhead,proportional_snapshot,0,8.75,305.1674
heterogeneous_overhead,proportional_snapshot,1,8.75,298.2352
heterogeneous_overhead,proportional_snapshot,2,8.75,305.9717
heterogeneous_overhead,proportional_snapshot,3,8.75,310.7255
heterogeneous_overhead,proportional_snapshot,4,8.75,301.3507
heterogeneous_overhead,proportional_snapshot,5,8.75,323.1724
heterogeneous_overhead,proportional_snapshot,6,8.75,297.758
heterogeneous_overhead,proportional_snapshot,7,8.75,306.3288
heterogeneous_overhead,proportional_snapshot,8,8.75,297.9963
heterogeneous_overhead,proportional_snapshot,9,8.75,300.4997
heterogeneous_overhead,proportional_snapshot,10,8.75,302.2032
heterogeneous_overhead,proportional_snapshot,11,8.75,313.1686
heterogeneous_overhead,proportional_snapshot,12,8.75,301.8524
heterogeneous_overhead,proportional_snapshot,13,8.75,300.6347
heterogeneous_overhead,proportional_snapshot,14,8.75,295.5264
heterogeneous_overhead,proportional_snapshot,15,8.75,310.7362
heterogeneous_overhead,proportional_snapshot,16,8.75,313.3886
heterogeneous_overhead,proportional_snapshot,17,8.75,306.0095
heterogeneous_overhead,proportional_snapshot,18,8.75,307.2772
heterogeneous_overhead,proportional_snapshot,19,8.75,302.7922
heterogeneous_overhead,proportional_snapshot,20,8.75,300.2898
heterogeneous_overhead,proportional_snapshot,21,8.75,298.1475
heterogeneous_overhead,proportional_snapshot,22,8.75,303.2454
heterogeneous_overhead,proportional_snapshot,23,8.75,300.755
heterogeneous_overhead,proportional_snapshot,24,8.75,303.3559
heterogeneous_overhead,proportional_snapshot,25,8.75,304.1684
heterogeneous_overhead,proportional_snapshot,26,8.75,303.6827
heterogeneous_overhead,proportional_snapshot,27,8.75,308.6538
heterogeneous_overhead,proportional_snapshot,28,8.75,298.8958
heterogeneous_overhead,proportional_snapshot,29,8.75,307.2304
heterogeneous_overhead,proportional_snapshot,30,8.75,297.685
heterogeneous_overhead,proportional_snapshot,31,8.75,300.7071
heterogeneous_overhead,proportional_snapshot,32,8.75,306.3549
heterogeneous_overhead,proportional_snapshot,33,8.75,309.1334
heterogeneous_overhead,proportional_snapshot,34,8.75,308.8315
heterogeneous_overhead,proportional_snapshot,35,8.75,305.4139
heterogeneous_overhead,proportional_snapshot,36,8.75,307.2615
heterogeneous_overhead,proportional_snapshot,37,8.75,301.7659
heterogeneous_overhead,proportional_snapshot,38,8.75,302.9318
heterogeneous_overhead,proportional_snapshot,39,8.75,310.076
heterogeneous_overhead,adaptive_dlt,0,4.7696,252.2922
heterogeneous_overhead,adaptive_dlt,1,4.2105,254.6771
heterogeneous_overhead,adaptive_dlt,2,4.1716,251.6946
heterogeneous_overhead,adaptive_dlt,3,4.411,268.8868
heterogeneous_overhead,adaptive_dlt,4,4.1569,261.9264
heterogeneous_overhead,adaptive_dlt,5,4.0,249.145
heterogeneous_overhead,adaptive_dlt,6,4.6482,260.3399
heterogeneous_overhead,adaptive_dlt,7,4.4473,273.2968
heterogeneous_overhead,adaptive_dlt,8,4.3875,268.7081
heterogeneous_overhead,adaptive_dlt,9,4.3687,269.6126
